City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
475,tucurui,-3.7661,-49.6725,21.68,98,100,1.2,BR,1674098217
476,haines junction,60.7522,-137.5108,-16.27,100,91,0.64,CA,1674098084
477,herat,34.5,62.0,-1.01,69,12,0.99,AF,1674098218
478,acapulco,16.8634,-99.8901,24.9,69,20,2.57,MX,1674098218
479,taoudenni,22.6783,-3.9836,17.67,29,99,3.96,ML,1674098218
480,broome,42.2506,-75.833,3.34,88,100,4.63,US,1674098219
481,roura,4.7263,-52.3274,22.95,100,75,2.57,GF,1674098219
482,bangkok,13.75,100.5167,28.85,60,23,0.9,TH,1674098220
483,noyon,49.5833,3.0,-1.64,92,13,2.36,FR,1674098220
484,meulaboh,4.1363,96.1285,26.55,65,92,0.64,ID,1674098193
485,tahe,52.3333,124.7333,-28.03,85,100,2.46,CN,1674098221
486,cabinda,-5.55,12.2,25.48,89,98,2.55,AO,1674098222
487,bambanglipuro,-7.95,110.2833,27.97,71,100,2.41,ID,1674098222
488,boguchany,58.3814,97.4531,-37.05,97,100,0.96,RU,1674098223
489,yokadouma,3.5167,15.05,19.41,42,87,1.06,CM,1674098223
490,mont-de-marsan,44.0,-0.6667,3.77,97,75,2.57,FR,1674098224
491,marawi,7.9986,124.2928,26.02,71,42,2.3,PH,1674098101
492,charleston,32.7766,-79.9309,16.27,96,100,2.57,US,1674098194
493,misratah,32.3754,15.0925,15.34,32,0,7.0,LY,1674098225
494,verkhoturye,58.8627,60.8054,-6.17,86,99,3.92,RU,1674098225
495,linkoping,58.4109,15.6216,-0.66,94,93,3.09,SE,1674098226
496,cody,44.5263,-109.0565,-0.88,40,0,6.69,US,1674098227
497,manali,13.1667,80.2667,25.05,65,54,1.41,IN,1674098228
498,crowley,30.2141,-92.3746,22.04,91,72,4.38,US,1674098228
499,port-cartier,50.0334,-66.8654,0.42,79,100,4.17,CA,1674098229
500,turan,16.0678,108.2208,21.99,68,75,0.0,VN,1674098229
501,amalapuram,16.5833,82.0167,22.71,75,45,0.9,IN,1674098230
502,mikuni,36.2171,136.1519,8.95,65,39,5.61,JP,1674098230
503,manzhouli,49.6,117.4333,-22.06,92,96,6.63,CN,1674098231
504,zapresic,45.8564,15.8078,4.96,92,100,3.37,HR,1674098232
505,samana,19.2056,-69.3369,22.21,69,46,3.01,DO,1674098232
506,vryburg,-26.9566,24.7284,20.92,53,15,3.51,ZA,1674098233
507,vredendal,-31.6683,18.5012,19.43,86,98,0.55,ZA,1674098233
508,rocha,-34.4833,-54.3333,19.57,88,100,3.15,UY,1674098234
509,samokov,42.3333,23.55,13.28,66,2,5.25,BG,1674098234
510,kaya,13.0917,-1.0844,20.0,16,2,3.92,BF,1674098235
511,patiya,22.2931,91.9762,16.97,55,0,4.63,BD,1674098235
512,jiazi,22.8779,116.067,16.26,59,1,3.9,CN,1674098236
513,brae,60.3964,-1.353,3.88,76,100,11.17,GB,1674098212
514,coos bay,43.3665,-124.2179,6.11,97,100,2.06,US,1674098124
515,salym,60.0625,71.4789,-16.73,99,78,2.02,RU,1674098237
516,bardiyah,31.7561,25.0865,12.96,65,3,5.18,LY,1674098238
517,shemursha,54.8866,47.5189,-12.17,91,97,4.32,RU,1674098238
518,newport,51.5877,-2.9984,1.49,91,100,2.64,GB,1674098154
519,tessalit,20.1986,1.0114,17.73,17,97,1.19,ML,1674098239
520,ntoum,0.3833,9.7833,24.44,92,88,0.55,GA,1674098239
521,celestun,20.8667,-90.4,24.11,71,69,3.41,MX,1674098240
522,debre tabor,11.85,38.0167,10.11,57,78,1.76,ET,1674098240
523,mount gambier,-37.8333,140.7667,18.27,40,10,5.87,AU,1674098241
524,kaabong,3.4836,34.1492,20.06,33,26,4.24,UG,1674098241
525,klaksvik,62.2266,-6.589,3.51,80,100,12.69,FO,1674098051
526,hambantota,6.1241,81.1185,25.09,64,72,7.5,LK,1674098242
527,rio verde de mato grosso,-18.9181,-54.8442,24.4,75,77,1.64,BR,1674098243
528,pozo colorado,-23.4923,-58.7972,26.32,71,70,1.9,PY,1674098243
529,traralgon,-38.1833,146.5333,21.93,29,34,2.44,AU,1674098244
530,sergeyevka,53.88,67.4158,-19.21,81,3,3.18,KZ,1674098245
531,sarangani,5.4033,125.4636,27.56,79,56,7.46,PH,1674098245
532,corinto,37.9407,22.9573,13.83,82,98,3.19,GR,1674098246
533,diplo,24.4667,69.584,15.57,16,76,3.29,PK,1674098246
534,moscow,55.7522,37.6156,1.29,98,100,7.73,RU,1674097718
535,koygorodok,60.445,50.9968,-9.68,93,23,3.65,RU,1674098247
536,sangerhausen,51.4667,11.3,-1.36,82,21,3.75,DE,1674098211
537,bengkulu,-3.8004,102.2655,25.31,83,99,2.39,ID,1674097988
538,warri,5.5167,5.75,24.94,88,43,1.28,NG,1674098248
539,mirnyy,62.5353,113.9611,-46.54,63,76,0.89,RU,1674098248
540,naryan-mar,67.6713,53.087,-12.57,96,99,4.17,RU,1674098178
541,pochutla,15.7432,-96.4661,24.9,87,26,1.67,MX,1674098249
542,marsa matruh,31.3525,27.2453,13.64,76,0,4.75,EG,1674098250
543,ciudad bolivar,8.1222,-63.5497,25.11,69,74,5.61,VE,1674098250
544,borogontsy,62.6683,131.1683,-45.65,96,97,0.75,RU,1674098251
545,stromness,58.965,-3.296,4.93,73,100,9.39,GB,1674098243
546,key west,24.5557,-81.7826,23.0,84,0,4.63,US,1674098066
547,amuntai,-2.4177,115.2494,28.94,74,99,1.02,ID,1674098252
548,skjervoy,70.0311,20.9714,-3.0,67,100,5.87,NO,1674098252
549,pervouralsk,56.9053,59.9436,-12.93,74,80,2.9,RU,1674098253
550,bantogon,6.5333,124.0333,27.55,74,100,2.3,PH,1674098253
551,santiago del estero,-27.7951,-64.2615,28.63,49,4,0.61,AR,1674098254
552,rawson,-43.3002,-65.1023,22.07,68,12,6.04,AR,1674098254
553,kartuzy,54.3342,18.1974,2.44,93,40,3.6,PL,1674098255
554,mamallapuram,12.6264,80.1722,25.03,65,11,2.11,IN,1674098255
555,the pas,53.8251,-101.2541,-14.99,85,0,4.63,CA,1674098220
556,sur,22.5667,59.5289,21.34,73,85,6.06,OM,1674098256
557,oranjestad,12.524,-70.027,26.06,84,0,0.89,AW,1674098079
558,albury,-36.0833,146.9167,25.74,94,0,3.58,AU,1674098187
559,kruisfontein,-34.0033,24.7314,21.6,91,67,4.88,ZA,1674098231
560,seoul,37.5683,126.9778,1.76,48,0,3.09,KR,1674098257
561,mahabad,36.7631,45.7222,-1.37,90,12,0.66,IR,1674098258
562,saint-leu,-21.15,55.2833,28.31,100,99,0.88,RE,1674098109
563,aktash,50.3,87.7333,-18.9,93,100,1.12,RU,1674098258
564,arroio grande,-32.2375,-53.0869,19.99,82,100,3.76,BR,1674098259
